,result
ADA,0.9946024211916199
BAT,0.9945600222147128
BNB,0.9915429081173494
BTC,0.9906540310009256
BTT,0.9911901855748444
CELR,0.9936608181346805
DASH,1.0028011316801395
EOS,0.9935127471057872
ETC,0.9872684326991868
ETH,0.9817867336917706
ICX,1.0559907692448522
LINK,1.010406178560488
LTC,0.9760189584607483
MATIC,1.0530111146332322
NEO,0.9718059572261317
ONE,0.9943680766292478
QTUM,0.9958671682362289
TRX,1.0088189936001997
XLM,0.9949219916300052
XMR,0.9724383663483859
XRP,0.9872460613463444
ZEC,1.0060454932172191
