,result,target
ADA,1.0349366664886475,0.9722796678543091
BAT,1.0023198127746582,0.9700683951377869
BNB,1.0236976146697998,0.9582842588424683
BTC,1.022301435470581,0.9908282160758972
BTT,1.0177836418151855,0.9700495004653931
CELR,0.9728355407714844,1.1493269205093384
DASH,0.9819542765617371,0.9567930698394775
EOS,0.9702776670455933,1.0468500852584839
ETC,0.9969550967216492,0.9777547717094421
ETH,1.016148567199707,0.9528669118881226
ICX,1.0367822647094727,0.91650390625
LINK,1.0085276365280151,0.9302013516426086
LTC,1.0019574165344238,0.9719222187995911
MATIC,1.0029737949371338,1.0274566411972046
NEO,0.9924391508102417,0.9634531736373901
ONE,0.9735748767852783,0.9343400597572327
QTUM,1.002989411354065,0.9861111044883728
TRX,1.0108250379562378,0.9095221757888794
XLM,0.9230537414550781,0.9661324620246887
XMR,0.9993764162063599,0.9950757622718811
XRP,0.9954466223716736,0.9778939485549927
ZEC,1.0105236768722534,0.9753444790840149
