,result
ADA,0.39316558837890625
BAT,0.48777857422828674
BNB,0.5181760787963867
BTC,0.4048705995082855
BTT,0.46443694829940796
CELR,0.3916681110858917
DASH,0.5021619200706482
EOS,0.4992697238922119
ETC,0.47980326414108276
ETH,0.4947636127471924
ICX,0.48481160402297974
LINK,0.5409688353538513
LTC,0.4372362196445465
MATIC,0.5039255023002625
NEO,0.4369368851184845
ONE,0.38658711314201355
QTUM,0.37885338068008423
TRX,0.48135221004486084
XLM,0.49177706241607666
XMR,0.5334970951080322
XRP,0.4756092131137848
ZEC,0.5339586734771729
