,result,target
ADA,0.39316558837890625,0.0
BAT,0.48777857422828674,0.0
BNB,0.5181760787963867,0.0
BTC,0.4048705995082855,0.0
BTT,0.46443694829940796,0.0
CELR,0.3916681110858917,0.0
DASH,0.5021619200706482,0.0
EOS,0.4992697238922119,0.0
ETC,0.47980326414108276,0.0
ETH,0.4947636127471924,0.0
ICX,0.48481160402297974,0.0
LINK,0.5409688353538513,0.0
LTC,0.4372362196445465,0.0
MATIC,0.5039255023002625,0.0
NEO,0.4369368851184845,0.0
ONE,0.38658711314201355,0.0
QTUM,0.37885338068008423,0.0
TRX,0.48135221004486084,0.0
XLM,0.49177706241607666,0.0
XMR,0.5334970951080322,0.0
XRP,0.4756092131137848,0.0
ZEC,0.5339586734771729,0.0
