,result
ADA,1.0354111194610596
BAT,0.9915097951889038
BNB,1.0227998495101929
BTC,1.021884560585022
BTT,1.0163286924362183
CELR,0.9727264046669006
DASH,0.981837272644043
EOS,0.9706410765647888
ETC,0.9966956973075867
ETH,1.0165529251098633
ICX,1.019147276878357
LINK,1.008647084236145
LTC,1.0031332969665527
MATIC,1.0032644271850586
NEO,0.9925012588500977
ONE,0.9722625017166138
QTUM,1.0036752223968506
TRX,1.0122041702270508
XLM,0.923522412776947
XMR,0.9969851970672607
XRP,0.9964686632156372
ZEC,1.0445921421051025
