,result,target
ADA,0.9930176138877869,0.9651110172271729
BAT,0.9950423240661621,0.9523436427116394
BNB,0.9982931613922119,0.9752907156944275
BTC,1.0063310861587524,0.9765169620513916
BTT,0.9557426571846008,0.9723705053329468
CELR,1.0179417133331299,0.9294657707214355
DASH,1.0356236696243286,0.9487654566764832
EOS,1.0243933200836182,0.9642407298088074
ETC,0.9962872266769409,0.9614325165748596
ETH,0.9880987405776978,0.9562720656394958
ICX,0.9793488383293152,0.9164634346961975
LINK,0.982059121131897,0.9353658556938171
LTC,0.9819869995117188,0.962176501750946
MATIC,1.0314183235168457,0.9652715921401978
NEO,1.0031019449234009,0.9672003984451294
ONE,1.0102258920669556,0.88531494140625
QTUM,0.9312415719032288,0.9731776714324951
TRX,1.0396969318389893,0.9806135296821594
XLM,0.9915143847465515,0.9601449370384216
XMR,1.0141609907150269,1.000427007675171
XRP,0.960994303226471,0.9768970012664795
ZEC,1.0458405017852783,0.939748227596283
