,result
ADA,0.9930176138877869
BAT,0.9950423240661621
BNB,0.9982931613922119
BTC,1.0063310861587524
BTT,0.9557426571846008
CELR,1.0179417133331299
DASH,1.0356236696243286
EOS,1.0243933200836182
ETC,0.9962872266769409
ETH,0.9880987405776978
ICX,0.9793488383293152
LINK,0.982059121131897
LTC,0.9819869995117188
MATIC,1.0314183235168457
NEO,1.0031019449234009
ONE,1.0102258920669556
QTUM,0.9312415719032288
TRX,1.0396969318389893
XLM,0.9915143847465515
XMR,1.0141609907150269
XRP,0.960994303226471
ZEC,1.0458405017852783
