,result
ADA,0.22351136803627014
BAT,0.4521620571613312
BNB,0.5348572731018066
BTC,0.45440760254859924
BTT,0.474091112613678
CELR,0.4153931140899658
DASH,0.5001608729362488
EOS,0.50725919008255
ETC,0.465839684009552
ETH,0.49370646476745605
ICX,0.5091339945793152
LINK,0.5186124444007874
LTC,0.47013145685195923
MATIC,0.4878126084804535
NEO,0.4557132422924042
ONE,0.3652391731739044
QTUM,0.47830381989479065
TRX,0.46201449632644653
XLM,0.5174018740653992
XMR,0.5023975372314453
XRP,0.4769454300403595
ZEC,0.49709880352020264
