,result,target
ADA,1.0354111194610596,1.0089361667633057
BAT,0.9915097951889038,1.0034579038619995
BNB,1.0227998495101929,1.0100836753845215
BTC,1.021884560585022,1.0209885835647583
BTT,1.0163286924362183,1.0068894624710083
CELR,0.9727264046669006,0.9429432153701782
DASH,0.981837272644043,1.0005017518997192
EOS,0.9706410765647888,1.0409445762634277
ETC,0.9966956973075867,1.0086419582366943
ETH,1.0165529251098633,1.0105388164520264
ICX,1.019147276878357,1.027171015739441
LINK,1.008647084236145,1.0241702795028687
LTC,1.0031332969665527,1.0077778100967407
MATIC,1.0032644271850586,0.9606188535690308
NEO,0.9925012588500977,1.018043875694275
ONE,0.9722625017166138,1.0863704681396484
QTUM,1.0036752223968506,1.0042413473129272
TRX,1.0122041702270508,1.0038881301879883
XLM,0.923522412776947,1.0075117349624634
XMR,0.9969851970672607,1.034259557723999
XRP,0.9964686632156372,1.0084420442581177
ZEC,1.0445921421051025,1.0304832458496094
